Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
capitolo,12,19.0,7.0,58.33
conigliera,4,32.0,28.0,700.0
alice,400,406.0,6.0,1.5
cominciava,5,16.0,11.0,220.0
sentirsi,2,7.0,5.0,250.0
mortalmente,2,14.0,12.0,600.0
stanca,4,7.0,3.0,75.0
sedere,2,25.0,23.0,1150.0
poggio,2,18.0,16.0,800.0
accanto,1,15.0,14.0,1400.0
sorella,7,18.0,11.0,157.14
far,18,26.0,8.0,44.44
nulla,19,26.0,7.0,36.84
due,39,53.0,14.0,35.9
volte,11,13.0,2.0,18.18
gittato,1,6.0,5.0,500.0
sguardo,2,11.0,9.0,450.0
libro,6,14.0,8.0,133.33
leggeva,3,10.0,7.0,233.33
imagini,2,12.0,10.0,500.0
nè,9,37.0,28.0,311.11
dialoghi,2,15.0,13.0,650.0
serve,2,5.0,3.0,150.0
pensò,53,59.0,6.0,11.32
andava,11,13.0,2.0,18.18
fantasticando,1,4.0,3.0,300.0
cervello,4,16.0,12.0,300.0
meglio,21,26.0,5.0,23.81
poteva,14,25.0,11.0,78.57
perchè,91,93.0,2.0,2.2
stellone,1,11.0,10.0,1000.0
avea,46,54.0,8.0,17.39
resa,2,11.0,9.0,450.0
sonnacchiosa,2,10.0,8.0,400.0
grullina,1,7.0,6.0,600.0
piacere,4,14.0,10.0,250.0
ghirlanda,1,12.0,11.0,1100.0
margherite,1,9.0,8.0,800.0
valesse,1,7.0,6.0,600.0
noja,2,7.0,5.0,250.0
levarsi,2,12.0,10.0,500.0
cogliere,1,17.0,16.0,1600.0
fiori,5,7.0,2.0,40.0
quand,2,8.0,6.0,300.0
coniglio,49,57.0,8.0,16.33
bianco,20,24.0,4.0,20.0
occhi,31,37.0,6.0,19.35
rubino,1,20.0,19.0,1900.0
passò,5,11.0,6.0,120.0
vicino,16,35.0,19.0,118.75
davvero,30,31.0,1.0,3.33
troppo,18,22.0,4.0,22.22
meravigliarsi,1,6.0,5.0,500.0
ciò,80,84.0,4.0,5.0
cosa,69,82.0,13.0,18.84
stravagante,1,7.0,6.0,600.0
sentire,8,11.0,3.0,37.5
parlare,19,24.0,5.0,26.32
diceva,14,20.0,6.0,42.86
sè,50,56.0,6.0,12.0
oimè,9,18.0,9.0,100.0
oimèi,1,8.0,7.0,700.0
fatto,17,25.0,8.0,47.06
tardi,7,17.0,10.0,142.86
quando,73,80.0,7.0,9.59
rammentò,6,15.0,9.0,150.0
seguito,3,10.0,7.0,233.33
accorse,9,23.0,14.0,155.56
dovuto,3,8.0,5.0,166.67
meravigliarsene,1,8.0,7.0,700.0
sembrò,3,13.0,10.0,333.33
assai,17,32.0,15.0,88.24
naturale,9,25.0,16.0,177.78
trasse,1,6.0,5.0,500.0
oriuolo,8,23.0,15.0,187.5
taschino,3,10.0,7.0,233.33
panciotto,2,14.0,12.0,600.0
affisò,2,8.0,6.0,300.0
scappò,3,8.0,5.0,166.67
via,50,59.0,9.0,18.0
saltò,4,8.0,4.0,100.0
piedi,25,37.0,12.0,48.0
venuto,2,20.0,18.0,900.0
mente,4,8.0,4.0,100.0
ch,51,57.0,6.0,11.76
ella,53,73.0,20.0,37.74
mai,62,81.0,19.0,30.65
veduto,9,19.0,10.0,111.11
rispettivo,1,21.0,20.0,2000.0
starvici,1,15.0,14.0,1400.0
divorata,2,14.0,12.0,600.0
curiosità,7,9.0,2.0,28.57
traversò,2,10.0,8.0,400.0
campo,3,12.0,9.0,300.0
correndogli,2,10.0,8.0,400.0
appresso,3,11.0,8.0,266.67
giunse,7,16.0,9.0,128.57
proprio,24,29.0,5.0,20.83
tempo,36,56.0,20.0,55.56
vederlo,1,4.0,3.0,300.0
slanciarsi,1,9.0,8.0,800.0
spaziosa,3,7.0,4.0,133.33
siepe,2,20.0,18.0,900.0
istante,20,30.0,10.0,50.0
scivolò,1,20.0,19.0,1900.0
punto,21,29.0,8.0,38.1
riflettere,4,14.0,10.0,250.0
riuscirne,2,6.0,4.0,200.0
fuori,21,24.0,3.0,14.29
buca,3,12.0,9.0,300.0
sfilava,2,18.0,16.0,800.0
diritto,2,19.0,17.0,850.0
galleria,1,26.0,25.0,2500.0
tunnel,1,7.0,6.0,600.0
poi,57,61.0,4.0,7.02
inabissava,1,5.0,4.0,400.0
tanto,50,51.0,1.0,2.0
rapidamente,3,8.0,5.0,166.67
solo,3,15.0,12.0,400.0
considerare,1,5.0,4.0,400.0
potuto,8,23.0,15.0,187.5
fermarsi,2,19.0,17.0,850.0
poichè,13,18.0,5.0,38.46
sentiva,6,15.0,9.0,150.0
cader,1,9.0,8.0,800.0
rotoloni,1,14.0,13.0,1300.0
qualche,50,61.0,11.0,22.0
precipizio,2,8.0,6.0,300.0
rassomigliava,4,14.0,10.0,250.0
pozzo,9,15.0,6.0,66.67
profondissimo,1,4.0,3.0,300.0
arci,1,10.0,9.0,900.0
profondo,3,11.0,8.0,266.67
ruzzolava,1,11.0,10.0,1000.0
adagino,2,6.0,4.0,200.0
mentre,45,54.0,9.0,20.0
cadeva,1,4.0,3.0,300.0
guardare,8,17.0,9.0,112.5
intorno,21,30.0,9.0,42.86
stupiva,1,18.0,17.0,1700.0
pensando,7,16.0,9.0,128.57
avverrebbe,3,11.0,8.0,266.67
prima,39,43.0,4.0,10.26
aguzzò,1,4.0,3.0,300.0
vista,6,14.0,8.0,133.33
cercò,10,15.0,5.0,50.0
vedere,22,27.0,5.0,22.73
fondo,7,24.0,17.0,242.86
scoprire,2,16.0,14.0,700.0
accaderebbe,1,17.0,16.0,1600.0
bujo,2,15.0,13.0,650.0
affatto,11,21.0,10.0,90.91
vedea,3,12.0,9.0,300.0
indi,3,14.0,11.0,366.67
guardò,19,21.0,2.0,10.53
pareti,1,8.0,7.0,700.0
osservò,27,39.0,12.0,44.44
ricoperte,1,5.0,4.0,400.0
credenze,1,10.0,9.0,900.0
scaffali,1,13.0,12.0,1200.0
libri,3,12.0,9.0,300.0
quà,13,18.0,5.0,38.46
là,18,24.0,6.0,33.33
vide,18,24.0,6.0,33.33
mappe,1,7.0,6.0,600.0
quadri,1,10.0,9.0,900.0
pendeano,1,15.0,14.0,1400.0
chiodi,1,10.0,9.0,900.0
andando,3,11.0,8.0,266.67
prese,9,17.0,8.0,88.89
volo,1,11.0,10.0,1000.0
vasettino,2,4.0,2.0,100.0
cartello,4,15.0,11.0,275.0
lesse,3,14.0,11.0,366.67
conserva,1,2.0,1.0,100.0
arance,1,18.0,17.0,1700.0
vuoto,1,16.0,15.0,1500.0
restò,9,13.0,4.0,44.44
delusa,1,20.0,19.0,1900.0
volle,7,35.0,28.0,400.0
lasciar,1,5.0,4.0,400.0
cadere,4,15.0,11.0,275.0
ammazzare,1,8.0,7.0,700.0
sempre,24,27.0,3.0,12.5
depose,4,14.0,10.0,250.0
altra,20,29.0,9.0,45.0
credenza,1,7.0,6.0,600.0
bene,43,47.0,4.0,9.3
dopo,28,34.0,6.0,21.43
caduta,6,14.0,8.0,133.33
tale,11,22.0,11.0,100.0
parrà,1,16.0,15.0,1500.0
niente,16,22.0,6.0,37.5
ruzzolare,1,15.0,14.0,1400.0
scale,1,9.0,8.0,800.0
casa,21,27.0,6.0,28.57
crederanno,2,4.0,2.0,100.0
coraggiosa,1,14.0,13.0,1300.0
ora,47,60.0,13.0,27.66
innanzi,12,15.0,3.0,25.0
ancorchè,2,15.0,13.0,650.0
cadessi,1,8.0,7.0,700.0
tetto,4,18.0,14.0,350.0
caso,6,12.0,6.0,100.0
probabilmente,3,15.0,12.0,400.0
dicea,1,11.0,10.0,1000.0
verità,2,9.0,7.0,350.0
finirà,1,13.0,12.0,1200.0
sa,14,30.0,16.0,114.29
miglia,3,13.0,10.0,333.33
percorse,1,7.0,6.0,600.0
quest,12,22.0,10.0,83.33
sclamò,27,35.0,8.0,29.63
stò,5,9.0,4.0,80.0
toccare,1,11.0,10.0,1000.0
centro,1,11.0,10.0,1000.0
terra,16,22.0,6.0,37.5
vediamo,6,20.0,14.0,233.33
suppongo,3,31.0,28.0,933.33
quattrocento,1,7.0,6.0,600.0
profondità,1,11.0,10.0,1000.0
vedete,6,14.0,8.0,133.33
imparate,1,12.0,11.0,1100.0
molte,4,15.0,11.0,275.0
tali,2,10.0,8.0,400.0
cose,22,29.0,7.0,31.82
lezioni,9,14.0,5.0,55.56
migliore,2,7.0,5.0,250.0
occasione,3,8.0,5.0,166.67
sfoggio,1,11.0,10.0,1000.0
erudizione,2,10.0,8.0,400.0
niuno,13,19.0,6.0,46.15
ascoltasse,2,7.0,5.0,250.0
meno,17,19.0,2.0,11.76
ripassarle,1,26.0,25.0,2500.0
sì,17,28.0,11.0,64.71
vera,6,20.0,14.0,233.33
distanza,5,13.0,8.0,160.0
press,3,12.0,9.0,300.0
vorrei,21,25.0,4.0,19.05
sapere,6,13.0,7.0,116.67
grado,1,14.0,13.0,1300.0
latitudine,2,15.0,13.0,650.0
longitudine,2,13.0,11.0,550.0
giunta,5,14.0,9.0,180.0
sapea,15,26.0,11.0,73.33
mica,5,16.0,11.0,220.0
belle,4,11.0,7.0,175.0
parolone,2,5.0,3.0,150.0
dire,27,37.0,10.0,37.04
disse,279,287.0,8.0,2.87
rincominciò,8,15.0,7.0,87.5
dovessi,1,5.0,4.0,400.0
traversare,3,4.0,1.0,33.33
bella,9,15.0,6.0,66.67
uscissi,1,9.0,8.0,800.0
genti,1,21.0,20.0,2000.0
camminano,1,6.0,5.0,500.0
capo,47,61.0,14.0,29.79
credo,18,30.0,12.0,66.67
chiamino,1,10.0,9.0,900.0
antipatie,1,8.0,7.0,700.0
volta,36,40.0,4.0,11.11
contenta,7,15.0,8.0,114.29
quel,50,55.0,5.0,10.0
nome,7,11.0,4.0,57.14
suonava,2,14.0,12.0,600.0
giusto,6,7.0,1.0,16.67
orecchio,9,19.0,10.0,111.11
domanderò,1,6.0,5.0,500.0
paese,3,15.0,12.0,400.0
grazia,9,16.0,7.0,77.78
signora,1,11.0,10.0,1000.0
nuova,5,15.0,10.0,200.0
zelanda,1,11.0,10.0,1000.0
australia,1,14.0,13.0,1300.0
riverenza,4,11.0,7.0,175.0
parlava,14,23.0,9.0,64.29
figuratevi,3,17.0,14.0,466.67
casca,2,5.0,3.0,150.0
dite,7,13.0,6.0,85.71
potreste,1,11.0,10.0,1000.0
farla,2,9.0,7.0,350.0
domanda,11,17.0,6.0,54.55
sciocca,3,10.0,7.0,233.33
forse,27,37.0,10.0,37.04
troverò,1,7.0,6.0,600.0
scritto,4,14.0,10.0,250.0
parte,8,21.0,13.0,162.5
colaggiù,2,15.0,13.0,650.0
cinguettare,1,4.0,3.0,300.0
dina,15,21.0,6.0,40.0
cercherà,1,7.0,6.0,600.0
stanotte,2,6.0,4.0,200.0
gatta,4,13.0,9.0,225.0
spero,3,11.0,8.0,266.67
rammenteranno,1,5.0,4.0,400.0
darle,1,8.0,7.0,700.0
piattino,1,7.0,6.0,600.0
latte,2,10.0,8.0,400.0
prenderanno,1,7.0,6.0,600.0
tè,17,28.0,11.0,64.71
cara,9,30.0,21.0,233.33
meco,2,18.0,16.0,800.0
quaggiù,3,10.0,7.0,233.33
son,28,36.0,8.0,28.57
sorci,4,20.0,16.0,400.0
aria,20,24.0,4.0,20.0
sai,10,14.0,4.0,40.0
potresti,3,12.0,9.0,300.0
afferrare,4,12.0,8.0,200.0
nottola,2,16.0,14.0,700.0
simile,9,14.0,5.0,55.56
sorcio,44,50.0,6.0,13.64
gatti,13,20.0,7.0,53.85
mangiano,6,20.0,14.0,233.33
nottole,4,10.0,6.0,150.0
quì,38,56.0,18.0,47.37
cominciò,23,24.0,1.0,4.35
sonniferare,1,20.0,19.0,1900.0
sonno,4,8.0,4.0,100.0
veglia,1,7.0,6.0,600.0
continuò,41,44.0,3.0,7.32
ruminare,1,4.0,3.0,300.0
denti,3,10.0,7.0,233.33
talvolta,4,11.0,7.0,175.0
potendo,2,18.0,16.0,800.0
rispondere,7,22.0,15.0,214.29
nessuna,2,12.0,10.0,500.0
quistioni,2,5.0,3.0,150.0
importava,1,17.0,16.0,1600.0
invertiva,1,24.0,23.0,2300.0
senso,9,13.0,4.0,44.44
esse,5,9.0,4.0,80.0
sonnecchiava,1,5.0,4.0,400.0
già,26,37.0,11.0,42.31
sognare,1,5.0,4.0,400.0
braccetto,2,10.0,8.0,400.0
austera,2,14.0,12.0,600.0
dìmmi,1,6.0,5.0,500.0
mangiata,1,13.0,12.0,1200.0
tonfete,1,12.0,11.0,1100.0
cascò,2,12.0,10.0,500.0
subito,34,43.0,9.0,26.47
mucchio,1,20.0,19.0,1900.0
ramicelli,1,8.0,7.0,700.0
foglie,6,7.0,1.0,16.67
secche,1,19.0,18.0,1800.0
finì,3,14.0,11.0,366.67
male,9,14.0,5.0,55.56
lesta,3,10.0,7.0,233.33
pronta,3,35.0,32.0,1066.67
alto,5,11.0,6.0,120.0
davanti,7,21.0,14.0,200.0
lungo,11,17.0,6.0,54.55
corridoio,3,13.0,10.0,333.33
percorso,1,10.0,9.0,900.0
