Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapitre,12,20.0,8.0,66.67
premier,8,13.0,5.0,62.5
fond,8,16.0,8.0,100.0
terrier,4,6.0,2.0,50.0
alice,395,399.0,4.0,1.01
assise,6,10.0,4.0,66.67
auprès,8,19.0,11.0,137.5
sœur,10,27.0,17.0,170.0
gazon,3,25.0,22.0,733.33
commençait,7,28.0,21.0,300.0
ennuyer,1,2.0,1.0,100.0
rester,7,25.0,18.0,257.14
rien,54,60.0,6.0,11.11
jeté,1,12.0,11.0,1100.0
yeux,41,49.0,8.0,19.51
livre,6,9.0,3.0,50.0
lisait,2,12.0,10.0,500.0
quoi,25,34.0,9.0,36.0
images,3,11.0,8.0,266.67
dialogues,2,7.0,5.0,250.0
belle,9,16.0,7.0,77.78
avance,2,6.0,4.0,200.0
pensait,10,14.0,4.0,40.0
causeries,1,4.0,3.0,300.0
mise,2,5.0,3.0,150.0
réfléchir,4,10.0,6.0,150.0
tant,14,26.0,12.0,85.71
bien,219,226.0,7.0,3.2
mal,14,16.0,2.0,14.29
chaleur,1,21.0,20.0,2000.0
jour,15,23.0,8.0,53.33
endormait,1,5.0,4.0,400.0
rendait,1,10.0,9.0,900.0
lourde,1,4.0,3.0,300.0
demandant,3,23.0,20.0,666.67
plaisir,6,12.0,6.0,100.0
couronne,4,20.0,16.0,400.0
marguerites,1,4.0,3.0,300.0
valait,1,7.0,6.0,600.0
peine,20,25.0,5.0,25.0
lever,4,7.0,3.0,75.0
cueillir,1,10.0,9.0,900.0
fleurs,6,13.0,7.0,116.67
coup,19,20.0,1.0,5.26
lapin,51,55.0,4.0,7.84
blanc,23,33.0,10.0,43.48
roses,4,8.0,4.0,100.0
passa,7,17.0,10.0,142.86
près,33,37.0,4.0,12.12
étonnant,1,12.0,11.0,1100.0
trouva,27,34.0,7.0,25.93
extraordinaire,4,9.0,5.0,125.0
entendre,14,28.0,14.0,100.0
parler,23,28.0,5.0,21.74
disait,13,17.0,4.0,30.77
ah,15,33.0,18.0,120.0
arriverai,2,8.0,6.0,300.0
tard,7,14.0,7.0,100.0
songeant,1,4.0,3.0,300.0
après,29,37.0,8.0,27.59
sembla,2,11.0,9.0,450.0
dû,3,10.0,7.0,233.33
étonner,2,9.0,7.0,350.0
moment,18,22.0,4.0,22.22
paru,2,30.0,28.0,1400.0
naturel,3,8.0,5.0,166.67
cependant,14,21.0,7.0,50.0
vint,5,18.0,13.0,260.0
tirer,5,10.0,5.0,100.0
montre,6,20.0,14.0,233.33
gousset,2,8.0,6.0,300.0
regarda,15,17.0,2.0,13.33
puis,51,56.0,5.0,9.8
prit,19,26.0,7.0,36.84
courir,9,10.0,1.0,11.11
plus,98,103.0,5.0,5.1
sauta,2,7.0,5.0,250.0
pieds,26,29.0,3.0,11.54
frappée,2,3.0,1.0,50.0
idée,17,24.0,7.0,41.18
jamais,45,48.0,3.0,6.67
entraînée,1,11.0,10.0,1000.0
curiosité,5,11.0,6.0,120.0
élança,1,14.0,13.0,1300.0
traces,1,28.0,27.0,2700.0
travers,8,15.0,7.0,87.5
champ,2,10.0,8.0,400.0
arriva,5,32.0,27.0,540.0
temps,50,52.0,2.0,4.0
voir,33,41.0,8.0,24.24
disparaître,4,5.0,1.0,25.0
large,5,9.0,4.0,80.0
trou,5,10.0,5.0,100.0
pied,11,15.0,4.0,36.36
haie,2,4.0,2.0,100.0
instant,19,24.0,5.0,26.32
