Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
erstes,1,7.0,6.0,600.0
kapitel,12,21.0,9.0,75.0
hinunter,14,25.0,11.0,78.57
kaninchenbau,3,9.0,6.0,200.0
alice,388,396.0,8.0,2.06
fing,47,51.0,4.0,8.51
langweilen,1,3.0,2.0,200.0
saß,14,26.0,12.0,85.71
schon,24,28.0,4.0,16.67
lange,19,23.0,4.0,21.05
schwester,10,12.0,2.0,20.0
ufer,5,12.0,7.0,140.0
thun,24,27.0,3.0,12.5
buch,3,7.0,4.0,133.33
las,3,8.0,5.0,166.67
gefiel,4,6.0,2.0,50.0
weder,4,5.0,1.0,25.0
bilder,3,10.0,7.0,233.33
gespräche,2,6.0,4.0,200.0
darin,12,19.0,7.0,58.33
nützen,3,13.0,10.0,333.33
bücher,1,5.0,4.0,400.0
dachte,65,69.0,4.0,6.15
überlegte,5,15.0,10.0,200.0
eben,31,37.0,6.0,19.35
gut,31,38.0,7.0,22.58
ging,26,31.0,5.0,19.23
schläfrig,3,10.0,7.0,233.33
dumm,4,6.0,2.0,50.0
hitze,1,11.0,10.0,1000.0
mühe,8,19.0,11.0,137.5
werth,5,17.0,12.0,240.0
sei,35,41.0,6.0,17.14
aufzustehen,1,6.0,5.0,500.0
gänseblümchen,1,3.0,2.0,200.0
pflücken,1,10.0,9.0,900.0
kette,1,7.0,6.0,600.0
plötzlich,12,16.0,4.0,33.33
weißes,1,5.0,4.0,400.0
kaninchen,44,56.0,12.0,27.27
rothen,3,7.0,4.0,133.33
augen,25,34.0,9.0,36.0
dicht,13,20.0,7.0,53.85
vorbeirannte,1,6.0,5.0,500.0
grade,1,3.0,2.0,200.0
merkwürdig,3,8.0,5.0,166.67
fand,22,25.0,3.0,13.64
außerordentlich,1,6.0,5.0,500.0
sagen,33,40.0,7.0,21.21
hörte,25,29.0,4.0,16.0
weh,9,14.0,5.0,55.56
spät,5,8.0,3.0,60.0
kommen,21,25.0,4.0,19.05
später,1,8.0,7.0,700.0
fiel,12,15.0,3.0,25.0
darüber,8,15.0,7.0,87.5
hätte,20,27.0,7.0,35.0
wundern,4,8.0,4.0,100.0
sollen,8,15.0,7.0,87.5
zeit,36,42.0,6.0,16.67
kam,39,43.0,4.0,10.26
ganz,82,84.0,2.0,2.44
natürlich,20,26.0,6.0,30.0
uhr,11,16.0,5.0,45.45
westentasche,2,4.0,2.0,100.0
zog,6,18.0,12.0,200.0
sah,47,50.0,3.0,6.38
eilig,9,16.0,7.0,77.78
fortlief,2,10.0,8.0,400.0
sprang,6,12.0,6.0,100.0
nie,25,32.0,7.0,28.0
vorgekommen,1,7.0,6.0,600.0
sehen,43,48.0,5.0,11.63
neugierde,3,5.0,2.0,66.67
brennend,1,8.0,7.0,700.0
rannte,9,15.0,6.0,66.67
grasplatz,1,7.0,6.0,600.0
rechten,9,17.0,8.0,88.89
großes,4,6.0,2.0,50.0
loch,2,7.0,5.0,250.0
hecke,2,5.0,3.0,150.0
schlüpfen,1,6.0,5.0,500.0
nächsten,15,24.0,9.0,60.0
augenblick,23,31.0,8.0,34.78
hineingesprungen,1,5.0,4.0,400.0
bedenken,1,9.0,8.0,800.0
welt,6,13.0,7.0,116.67
herauskommen,1,3.0,2.0,200.0
eingang,3,7.0,4.0,133.33
lief,10,13.0,3.0,30.0
erst,21,24.0,3.0,14.29
geradeaus,1,7.0,6.0,600.0
tunnel,1,8.0,7.0,700.0
abwärts,2,5.0,3.0,150.0
ehe,13,20.0,7.0,53.85
gedanken,7,14.0,7.0,100.0
fassen,2,4.0,2.0,100.0
konnte,51,54.0,3.0,5.88
schnell,35,47.0,12.0,34.29
festzuhalten,1,10.0,9.0,900.0
fühlte,7,13.0,6.0,85.71
schien,20,31.0,11.0,55.0
tiefen,3,6.0,3.0,100.0
brunnen,6,9.0,3.0,50.0
entweder,3,9.0,6.0,200.0
mußte,10,16.0,6.0,60.0
tief,9,11.0,2.0,22.22
langsam,8,9.0,1.0,12.5
genug,24,34.0,10.0,41.67
beim,6,14.0,8.0,133.33
fallen,7,17.0,10.0,142.86
umzusehen,3,11.0,8.0,266.67
wohl,45,46.0,1.0,2.22
geschehen,6,17.0,11.0,183.33
zuerst,15,25.0,10.0,66.67
versuchte,12,13.0,1.0,8.33
wissen,21,26.0,5.0,23.81
wohin,5,9.0,4.0,80.0
käme,2,10.0,8.0,400.0
dunkel,2,3.0,1.0,50.0
erkennen,1,7.0,6.0,600.0
besah,1,4.0,3.0,300.0
wände,1,11.0,10.0,1000.0
brunnens,1,4.0,3.0,300.0
bemerkte,14,24.0,10.0,71.43
küchenschränken,1,16.0,15.0,1500.0
bücherbrettern,1,10.0,9.0,900.0
bedeckt,2,6.0,4.0,200.0
erblickte,3,7.0,4.0,133.33
landkarten,1,4.0,3.0,300.0
haken,1,7.0,6.0,600.0
aufgehängt,2,7.0,5.0,250.0
nahm,17,20.0,3.0,17.65
vorbeifallen,1,9.0,8.0,800.0
bretter,1,13.0,12.0,1200.0
töpfchen,1,8.0,7.0,700.0
aufschrift,1,9.0,8.0,800.0
eingemachte,1,3.0,2.0,200.0
apfelsinen,1,4.0,3.0,300.0
großen,17,23.0,6.0,35.29
verdruß,3,9.0,6.0,200.0
leer,1,5.0,4.0,400.0
lassen,11,14.0,3.0,27.27
furcht,3,7.0,4.0,133.33
jemand,8,11.0,3.0,37.5
tödten,1,9.0,8.0,800.0
gelang,4,10.0,6.0,150.0
schrank,1,3.0,2.0,200.0
vorbeikam,1,4.0,3.0,300.0
schieben,2,2.0,0.0,0.0
fall,14,16.0,2.0,14.29
daraus,3,6.0,3.0,100.0
treppe,3,9.0,6.0,200.0
stolpere,1,14.0,13.0,1300.0
muthig,1,4.0,3.0,300.0
haus,8,11.0,3.0,37.5
finden,9,17.0,8.0,88.89
redens,1,4.0,3.0,300.0
dachspitze,1,6.0,5.0,500.0
fiele,1,7.0,6.0,600.0
wahrscheinlich,6,11.0,5.0,83.33
endigen,1,6.0,5.0,500.0
viele,4,15.0,11.0,275.0
meilen,3,6.0,3.0,100.0
gefallen,9,14.0,5.0,55.56
sagte,361,365.0,4.0,1.11
laut,18,21.0,3.0,16.67
muß,27,36.0,9.0,33.33
ungefähr,14,21.0,7.0,50.0
mittelpunkt,1,2.0,1.0,100.0
erde,4,13.0,9.0,225.0
laß,13,21.0,8.0,61.54
wären,2,9.0,7.0,350.0
achthundert,1,2.0,1.0,100.0
funfzig,1,7.0,6.0,600.0
glaube,20,22.0,2.0,10.0
müßt,3,9.0,6.0,200.0
dergleichen,4,8.0,4.0,100.0
schule,7,10.0,3.0,42.86
gelernt,2,6.0,4.0,200.0
obgleich,9,12.0,3.0,33.33
gute,7,14.0,7.0,100.0
gelegenheit,8,17.0,9.0,112.5
kenntnisse,2,5.0,3.0,150.0
zeigen,5,9.0,4.0,80.0
niemand,11,23.0,12.0,109.09
zuhören,2,9.0,7.0,350.0
übte,1,5.0,4.0,400.0
dabei,23,26.0,3.0,13.04
ja,47,53.0,6.0,12.77
entfernung,6,19.0,13.0,216.67
länge,1,12.0,11.0,1100.0
breitegrade,1,4.0,3.0,300.0
gekommen,8,10.0,2.0,25.0
mag,12,19.0,7.0,58.33
geringsten,4,8.0,4.0,100.0
begriff,3,7.0,4.0,133.33
längegrad,1,6.0,5.0,500.0
breitegrad,1,5.0,4.0,400.0
klangen,1,3.0,2.0,200.0
worte,15,26.0,11.0,73.33
großartig,1,10.0,9.0,900.0
nett,4,15.0,11.0,275.0
bald,20,21.0,1.0,5.0
komisch,9,13.0,4.0,44.44
leuten,2,8.0,6.0,300.0
heraus,7,7.0,0.0,0.0
kopfe,7,10.0,3.0,42.86
gehen,23,33.0,10.0,43.48
antipathien,1,8.0,7.0,700.0
diesmal,10,15.0,5.0,50.0
lieb,3,5.0,2.0,66.67
zuhörte,4,11.0,7.0,175.0
wort,10,16.0,6.0,60.0
klang,4,8.0,4.0,100.0
gar,37,41.0,4.0,10.81
recht,22,26.0,4.0,18.18
fragen,9,10.0,1.0,11.11
müssen,12,19.0,7.0,58.33
land,4,6.0,2.0,50.0
heißt,4,10.0,6.0,150.0
bitte,15,17.0,2.0,13.33
liebe,14,23.0,9.0,64.29
dame,2,6.0,4.0,200.0
neu,1,6.0,5.0,500.0
seeland,1,6.0,5.0,500.0
australien,1,9.0,8.0,800.0
knixen,2,7.0,5.0,250.0
denkt,2,9.0,7.0,350.0
luft,10,17.0,7.0,70.0
fällt,2,6.0,4.0,200.0
könntet,2,10.0,8.0,400.0
fertig,9,24.0,15.0,166.67
kriegen,1,4.0,3.0,300.0
unwissendes,1,2.0,1.0,100.0
kleines,12,16.0,4.0,33.33
mädchen,7,10.0,3.0,42.86
halten,4,13.0,9.0,225.0
frage,20,23.0,3.0,15.0
nein,30,39.0,9.0,30.0
geht,15,18.0,3.0,20.0
vielleicht,18,27.0,9.0,50.0
sehe,6,19.0,13.0,216.67
irgendwo,3,11.0,8.0,266.67
angeschrieben,1,2.0,1.0,100.0
sprechen,9,14.0,5.0,55.56
dinah,15,21.0,6.0,40.0
gewiß,11,19.0,8.0,72.73
heut,4,11.0,7.0,175.0
abend,1,5.0,4.0,400.0
suchen,7,10.0,3.0,42.86
katze,31,41.0,10.0,32.26
hoffe,3,6.0,3.0,100.0
napf,1,5.0,4.0,400.0
milch,1,6.0,5.0,500.0
theestunde,2,8.0,6.0,300.0
vergessen,10,14.0,4.0,40.0
mies,2,5.0,3.0,150.0
wärest,4,9.0,5.0,125.0
unten,9,15.0,6.0,66.67
bange,2,10.0,8.0,400.0
giebt,3,7.0,4.0,133.33
mäuse,1,11.0,10.0,1000.0
