Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapitre,12,14.0,2.0,16.67
premier,8,10.0,2.0,25.0
fond,8,18.0,10.0,125.0
terrier,4,9.0,5.0,125.0
alice,395,401.0,6.0,1.52
assise,6,7.0,1.0,16.67
auprès,8,16.0,8.0,100.0
sœur,10,14.0,4.0,40.0
gazon,3,11.0,8.0,266.67
commençait,7,13.0,6.0,85.71
ennuyer,1,3.0,2.0,200.0
rester,7,10.0,3.0,42.86
rien,54,59.0,5.0,9.26
jeté,1,3.0,2.0,200.0
yeux,41,56.0,15.0,36.59
livre,6,15.0,9.0,150.0
lisait,2,5.0,3.0,150.0
quoi,25,29.0,4.0,16.0
images,3,12.0,9.0,300.0
dialogues,2,10.0,8.0,400.0
belle,9,16.0,7.0,77.78
avance,2,5.0,3.0,150.0
pensait,10,20.0,10.0,100.0
causeries,1,9.0,8.0,800.0
mise,2,12.0,10.0,500.0
réfléchir,4,5.0,1.0,25.0
tant,14,24.0,10.0,71.43
bien,219,228.0,9.0,4.11
mal,14,19.0,5.0,35.71
chaleur,1,7.0,6.0,600.0
jour,15,31.0,16.0,106.67
endormait,1,3.0,2.0,200.0
rendait,1,2.0,1.0,100.0
lourde,1,15.0,14.0,1400.0
demandant,3,6.0,3.0,100.0
plaisir,6,12.0,6.0,100.0
couronne,4,9.0,5.0,125.0
marguerites,1,5.0,4.0,400.0
valait,1,7.0,6.0,600.0
peine,20,25.0,5.0,25.0
lever,4,9.0,5.0,125.0
cueillir,1,5.0,4.0,400.0
fleurs,6,11.0,5.0,83.33
coup,19,22.0,3.0,15.79
lapin,51,59.0,8.0,15.69
blanc,23,27.0,4.0,17.39
roses,4,14.0,10.0,250.0
passa,7,21.0,14.0,200.0
près,33,38.0,5.0,15.15
étonnant,1,11.0,10.0,1000.0
trouva,27,30.0,3.0,11.11
extraordinaire,4,8.0,4.0,100.0
entendre,14,22.0,8.0,57.14
parler,23,30.0,7.0,30.43
disait,13,16.0,3.0,23.08
ah,15,23.0,8.0,53.33
arriverai,2,22.0,20.0,1000.0
tard,7,22.0,15.0,214.29
songeant,1,4.0,3.0,300.0
après,29,37.0,8.0,27.59
sembla,2,4.0,2.0,100.0
dû,3,10.0,7.0,233.33
étonner,2,8.0,6.0,300.0
moment,18,22.0,4.0,22.22
paru,2,4.0,2.0,100.0
naturel,3,8.0,5.0,166.67
cependant,14,17.0,3.0,21.43
vint,5,6.0,1.0,20.0
tirer,5,13.0,8.0,160.0
montre,6,20.0,14.0,233.33
gousset,2,10.0,8.0,400.0
regarda,15,22.0,7.0,46.67
puis,51,54.0,3.0,5.88
prit,19,23.0,4.0,21.05
courir,9,16.0,7.0,77.78
plus,98,99.0,1.0,1.02
sauta,2,8.0,6.0,300.0
pieds,26,45.0,19.0,73.08
frappée,2,4.0,2.0,100.0
idée,17,19.0,2.0,11.76
jamais,45,47.0,2.0,4.44
entraînée,1,3.0,2.0,200.0
curiosité,5,12.0,7.0,140.0
élança,1,9.0,8.0,800.0
traces,1,2.0,1.0,100.0
travers,8,11.0,3.0,37.5
champ,2,5.0,3.0,150.0
arriva,5,8.0,3.0,60.0
temps,50,57.0,7.0,14.0
voir,33,42.0,9.0,27.27
disparaître,4,12.0,8.0,200.0
large,5,16.0,11.0,220.0
trou,5,9.0,4.0,80.0
pied,11,15.0,4.0,36.36
