Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
erstes,1,3.0,2.0,200.0
kapitel,12,26.0,14.0,116.67
hinunter,14,21.0,7.0,50.0
kaninchenbau,3,7.0,4.0,133.33
alice,388,391.0,3.0,0.77
fing,47,62.0,15.0,31.91
langweilen,1,3.0,2.0,200.0
saß,14,27.0,13.0,92.86
schon,24,26.0,2.0,8.33
lange,19,32.0,13.0,68.42
schwester,10,17.0,7.0,70.0
ufer,5,7.0,2.0,40.0
thun,24,25.0,1.0,4.17
buch,3,8.0,5.0,166.67
las,3,10.0,7.0,233.33
gefiel,4,9.0,5.0,125.0
weder,4,19.0,15.0,375.0
bilder,3,9.0,6.0,200.0
gespräche,2,17.0,15.0,750.0
darin,12,18.0,6.0,50.0
nützen,3,8.0,5.0,166.67
bücher,1,8.0,7.0,700.0
dachte,65,66.0,1.0,1.54
überlegte,5,11.0,6.0,120.0
eben,31,47.0,16.0,51.61
gut,31,41.0,10.0,32.26
ging,26,33.0,7.0,26.92
schläfrig,3,7.0,4.0,133.33
dumm,4,10.0,6.0,150.0
hitze,1,5.0,4.0,400.0
mühe,8,13.0,5.0,62.5
werth,5,8.0,3.0,60.0
sei,35,42.0,7.0,20.0
aufzustehen,1,9.0,8.0,800.0
gänseblümchen,1,9.0,8.0,800.0
pflücken,1,2.0,1.0,100.0
kette,1,2.0,1.0,100.0
plötzlich,12,17.0,5.0,41.67
weißes,1,8.0,7.0,700.0
kaninchen,44,50.0,6.0,13.64
rothen,3,7.0,4.0,133.33
augen,25,35.0,10.0,40.0
dicht,13,22.0,9.0,69.23
vorbeirannte,1,12.0,11.0,1100.0
grade,1,3.0,2.0,200.0
merkwürdig,3,9.0,6.0,200.0
fand,22,27.0,5.0,22.73
außerordentlich,1,10.0,9.0,900.0
sagen,33,45.0,12.0,36.36
hörte,25,33.0,8.0,32.0
weh,9,12.0,3.0,33.33
spät,5,11.0,6.0,120.0
kommen,21,23.0,2.0,9.52
später,1,16.0,15.0,1500.0
fiel,12,17.0,5.0,41.67
darüber,8,9.0,1.0,12.5
hätte,20,25.0,5.0,25.0
wundern,4,14.0,10.0,250.0
sollen,8,13.0,5.0,62.5
zeit,36,42.0,6.0,16.67
kam,39,45.0,6.0,15.38
