Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
erstes,1,4.0,3.0,300.0
kapitel,12,18.0,6.0,50.0
hinunter,14,16.0,2.0,14.29
kaninchenbau,3,5.0,2.0,66.67
alice,388,392.0,4.0,1.03
fing,47,50.0,3.0,6.38
langweilen,1,4.0,3.0,300.0
saß,14,19.0,5.0,35.71
schon,24,30.0,6.0,25.0
lange,19,23.0,4.0,21.05
schwester,10,16.0,6.0,60.0
ufer,5,11.0,6.0,120.0
thun,24,28.0,4.0,16.67
buch,3,7.0,4.0,133.33
las,3,6.0,3.0,100.0
gefiel,4,10.0,6.0,150.0
weder,4,7.0,3.0,75.0
bilder,3,8.0,5.0,166.67
gespräche,2,9.0,7.0,350.0
darin,12,14.0,2.0,16.67
nützen,3,7.0,4.0,133.33
bücher,1,5.0,4.0,400.0
dachte,65,70.0,5.0,7.69
überlegte,5,9.0,4.0,80.0
eben,31,33.0,2.0,6.45
gut,31,33.0,2.0,6.45
ging,26,32.0,6.0,23.08
schläfrig,3,9.0,6.0,200.0
dumm,4,8.0,4.0,100.0
hitze,1,4.0,3.0,300.0
mühe,8,12.0,4.0,50.0
werth,5,9.0,4.0,80.0
sei,35,40.0,5.0,14.29
aufzustehen,1,7.0,6.0,600.0
gänseblümchen,1,3.0,2.0,200.0
pflücken,1,10.0,9.0,900.0
kette,1,6.0,5.0,500.0
plötzlich,12,21.0,9.0,75.0
weißes,1,2.0,1.0,100.0
kaninchen,44,55.0,11.0,25.0
rothen,3,10.0,7.0,233.33
augen,25,32.0,7.0,28.0
dicht,13,14.0,1.0,7.69
vorbeirannte,1,7.0,6.0,600.0
grade,1,7.0,6.0,600.0
merkwürdig,3,15.0,12.0,400.0
fand,22,26.0,4.0,18.18
außerordentlich,1,7.0,6.0,600.0
sagen,33,37.0,4.0,12.12
hörte,25,30.0,5.0,20.0
weh,9,13.0,4.0,44.44
spät,5,16.0,11.0,220.0
kommen,21,24.0,3.0,14.29
später,1,5.0,4.0,400.0
fiel,12,17.0,5.0,41.67
darüber,8,12.0,4.0,50.0
hätte,20,24.0,4.0,20.0
wundern,4,7.0,3.0,75.0
sollen,8,13.0,5.0,62.5
zeit,36,40.0,4.0,11.11
kam,39,42.0,3.0,7.69
ganz,82,86.0,4.0,4.88
natürlich,20,23.0,3.0,15.0
uhr,11,15.0,4.0,36.36
westentasche,2,5.0,3.0,150.0
zog,6,7.0,1.0,16.67
sah,47,49.0,2.0,4.26
eilig,9,11.0,2.0,22.22
fortlief,2,8.0,6.0,300.0
sprang,6,11.0,5.0,83.33
nie,25,28.0,3.0,12.0
vorgekommen,1,6.0,5.0,500.0
sehen,43,49.0,6.0,13.95
neugierde,3,6.0,3.0,100.0
brennend,1,6.0,5.0,500.0
rannte,9,12.0,3.0,33.33
grasplatz,1,3.0,2.0,200.0
rechten,9,12.0,3.0,33.33
großes,4,5.0,1.0,25.0
loch,2,9.0,7.0,350.0
hecke,2,6.0,4.0,200.0
schlüpfen,1,7.0,6.0,600.0
nächsten,15,20.0,5.0,33.33
augenblick,23,27.0,4.0,17.39
hineingesprungen,1,5.0,4.0,400.0
bedenken,1,4.0,3.0,300.0
welt,6,8.0,2.0,33.33
herauskommen,1,6.0,5.0,500.0
eingang,3,7.0,4.0,133.33
lief,10,15.0,5.0,50.0
erst,21,26.0,5.0,23.81
geradeaus,1,7.0,6.0,600.0
tunnel,1,2.0,1.0,100.0
abwärts,2,5.0,3.0,150.0
ehe,13,19.0,6.0,46.15
gedanken,7,13.0,6.0,85.71
fassen,2,11.0,9.0,450.0
konnte,51,56.0,5.0,9.8
schnell,35,37.0,2.0,5.71
festzuhalten,1,6.0,5.0,500.0
fühlte,7,9.0,2.0,28.57
schien,20,27.0,7.0,35.0
tiefen,3,9.0,6.0,200.0
brunnen,6,11.0,5.0,83.33
entweder,3,12.0,9.0,300.0
mußte,10,11.0,1.0,10.0
tief,9,13.0,4.0,44.44
langsam,8,10.0,2.0,25.0
genug,24,29.0,5.0,20.83
beim,6,9.0,3.0,50.0
fallen,7,11.0,4.0,57.14
umzusehen,3,5.0,2.0,66.67
wohl,45,50.0,5.0,11.11
geschehen,6,17.0,11.0,183.33
zuerst,15,17.0,2.0,13.33
versuchte,12,18.0,6.0,50.0
wissen,21,23.0,2.0,9.52
wohin,5,9.0,4.0,80.0
käme,2,6.0,4.0,200.0
dunkel,2,3.0,1.0,50.0
erkennen,1,7.0,6.0,600.0
besah,1,9.0,8.0,800.0
wände,1,3.0,2.0,200.0
brunnens,1,2.0,1.0,100.0
bemerkte,14,21.0,7.0,50.0
küchenschränken,1,7.0,6.0,600.0
bücherbrettern,1,2.0,1.0,100.0
bedeckt,2,4.0,2.0,100.0
erblickte,3,6.0,3.0,100.0
landkarten,1,4.0,3.0,300.0
haken,1,4.0,3.0,300.0
aufgehängt,2,11.0,9.0,450.0
nahm,17,22.0,5.0,29.41
vorbeifallen,1,4.0,3.0,300.0
bretter,1,4.0,3.0,300.0
töpfchen,1,9.0,8.0,800.0
aufschrift,1,1.0,0.0,0.0
eingemachte,1,6.0,5.0,500.0
apfelsinen,1,9.0,8.0,800.0
großen,17,19.0,2.0,11.76
verdruß,3,5.0,2.0,66.67
leer,1,8.0,7.0,700.0
lassen,11,13.0,2.0,18.18
furcht,3,7.0,4.0,133.33
jemand,8,10.0,2.0,25.0
tödten,1,4.0,3.0,300.0
gelang,4,8.0,4.0,100.0
schrank,1,6.0,5.0,500.0
vorbeikam,1,2.0,1.0,100.0
schieben,2,7.0,5.0,250.0
fall,14,17.0,3.0,21.43
daraus,3,8.0,5.0,166.67
treppe,3,8.0,5.0,166.67
stolpere,1,3.0,2.0,200.0
muthig,1,9.0,8.0,800.0
haus,8,9.0,1.0,12.5
finden,9,14.0,5.0,55.56
redens,1,2.0,1.0,100.0
dachspitze,1,9.0,8.0,800.0
fiele,1,6.0,5.0,500.0
wahrscheinlich,6,7.0,1.0,16.67
endigen,1,4.0,3.0,300.0
viele,4,8.0,4.0,100.0
meilen,3,4.0,1.0,33.33
gefallen,9,14.0,5.0,55.56
sagte,361,363.0,2.0,0.55
laut,18,18.0,0.0,0.0
muß,27,28.0,1.0,3.7
ungefähr,14,16.0,2.0,14.29
mittelpunkt,1,5.0,4.0,400.0
erde,4,12.0,8.0,200.0
laß,13,17.0,4.0,30.77
wären,2,8.0,6.0,300.0
achthundert,1,5.0,4.0,400.0
funfzig,1,14.0,13.0,1300.0
glaube,20,24.0,4.0,20.0
müßt,3,15.0,12.0,400.0
dergleichen,4,9.0,5.0,125.0
schule,7,10.0,3.0,42.86
gelernt,2,7.0,5.0,250.0
obgleich,9,12.0,3.0,33.33
gute,7,8.0,1.0,14.29
gelegenheit,8,8.0,0.0,0.0
kenntnisse,2,9.0,7.0,350.0
zeigen,5,5.0,0.0,0.0
niemand,11,13.0,2.0,18.18
zuhören,2,5.0,3.0,150.0
übte,1,3.0,2.0,200.0
dabei,23,27.0,4.0,17.39
ja,47,52.0,5.0,10.64
entfernung,6,10.0,4.0,66.67
länge,1,4.0,3.0,300.0
breitegrade,1,6.0,5.0,500.0
gekommen,8,11.0,3.0,37.5
mag,12,17.0,5.0,41.67
geringsten,4,8.0,4.0,100.0
begriff,3,4.0,1.0,33.33
längegrad,1,4.0,3.0,300.0
breitegrad,1,8.0,7.0,700.0
klangen,1,3.0,2.0,200.0
worte,15,23.0,8.0,53.33
großartig,1,5.0,4.0,400.0
nett,4,5.0,1.0,25.0
bald,20,25.0,5.0,25.0
komisch,9,12.0,3.0,33.33
leuten,2,4.0,2.0,100.0
heraus,7,12.0,5.0,71.43
kopfe,7,9.0,2.0,28.57
gehen,23,26.0,3.0,13.04
antipathien,1,6.0,5.0,500.0
diesmal,10,15.0,5.0,50.0
lieb,3,8.0,5.0,166.67
zuhörte,4,11.0,7.0,175.0
wort,10,13.0,3.0,30.0
klang,4,10.0,6.0,150.0
gar,37,45.0,8.0,21.62
recht,22,26.0,4.0,18.18
fragen,9,15.0,6.0,66.67
müssen,12,14.0,2.0,16.67
land,4,9.0,5.0,125.0
heißt,4,6.0,2.0,50.0
bitte,15,18.0,3.0,20.0
liebe,14,18.0,4.0,28.57
dame,2,4.0,2.0,100.0
neu,1,9.0,8.0,800.0
seeland,1,2.0,1.0,100.0
australien,1,7.0,6.0,600.0
knixen,2,2.0,0.0,0.0
denkt,2,4.0,2.0,100.0
luft,10,12.0,2.0,20.0
fällt,2,8.0,6.0,300.0
könntet,2,7.0,5.0,250.0
fertig,9,16.0,7.0,77.78
kriegen,1,3.0,2.0,200.0
unwissendes,1,6.0,5.0,500.0
kleines,12,16.0,4.0,33.33
mädchen,7,10.0,3.0,42.86
halten,4,8.0,4.0,100.0
frage,20,29.0,9.0,45.0
nein,30,30.0,0.0,0.0
geht,15,15.0,0.0,0.0
vielleicht,18,20.0,2.0,11.11
sehe,6,10.0,4.0,66.67
irgendwo,3,4.0,1.0,33.33
angeschrieben,1,10.0,9.0,900.0
sprechen,9,10.0,1.0,11.11
dinah,15,22.0,7.0,46.67
gewiß,11,16.0,5.0,45.45
heut,4,6.0,2.0,50.0
abend,1,2.0,1.0,100.0
suchen,7,15.0,8.0,114.29
katze,31,32.0,1.0,3.23
hoffe,3,12.0,9.0,300.0
napf,1,2.0,1.0,100.0
milch,1,8.0,7.0,700.0
theestunde,2,3.0,1.0,50.0
vergessen,10,13.0,3.0,30.0
mies,2,6.0,4.0,200.0
wärest,4,9.0,5.0,125.0
unten,9,16.0,7.0,77.78
bange,2,4.0,2.0,100.0
giebt,3,7.0,4.0,133.33
mäuse,1,6.0,5.0,500.0
könntest,6,11.0,5.0,83.33
spatzen,6,16.0,10.0,166.67
fangen,3,11.0,8.0,266.67
geben,8,8.0,0.0,0.0
glaubst,2,5.0,3.0,150.0
katzen,13,17.0,4.0,30.77
fressen,5,9.0,4.0,80.0
wurde,24,30.0,6.0,25.0
redete,4,9.0,5.0,125.0
halb,20,24.0,4.0,20.0
traum,6,11.0,5.0,83.33
fort,58,63.0,5.0,8.62
gern,31,39.0,8.0,25.81
antworten,5,8.0,3.0,60.0
brauchte,3,4.0,1.0,33.33
darauf,32,37.0,5.0,15.62
stellte,7,8.0,1.0,14.29
einschlief,1,3.0,2.0,200.0
angefangen,6,9.0,3.0,50.0
träumen,2,5.0,3.0,150.0
gehe,3,4.0,1.0,33.33
hand,23,24.0,1.0,4.35
spazieren,2,6.0,4.0,200.0
ernsthaft,3,8.0,5.0,166.67
sage,16,17.0,1.0,6.25
wahrheit,4,8.0,4.0,100.0
hast,27,29.0,2.0,7.41
je,18,22.0,4.0,22.22
gefressen,1,6.0,5.0,500.0
male,5,10.0,5.0,100.0
plump,2,2.0,0.0,0.0
haufen,1,3.0,2.0,200.0
trocknes,1,5.0,4.0,400.0
laub,1,7.0,6.0,600.0
reisig,1,5.0,4.0,400.0
liegen,2,8.0,6.0,300.0
gethan,11,15.0,4.0,36.36
sogleich,13,14.0,1.0,7.69
höhe,9,16.0,7.0,77.78
lag,8,13.0,5.0,62.5
zweiter,1,2.0,1.0,100.0
langer,1,6.0,5.0,500.0
gang,4,11.0,7.0,175.0
weiße,19,27.0,8.0,42.11
entlang,3,12.0,9.0,300.0
laufen,3,4.0,1.0,33.33
verlieren,2,6.0,4.0,200.0
wind,1,2.0,1.0,100.0
gerade,25,27.0,2.0,8.0
ecke,4,8.0,4.0,100.0
bog,2,3.0,1.0,50.0
ohren,4,9.0,5.0,125.0
schnurrbart,1,5.0,4.0,400.0
mehr,33,37.0,4.0,12.12
befand,4,10.0,6.0,150.0
langen,4,9.0,5.0,125.0
niedrigen,2,6.0,4.0,200.0
corridor,5,6.0,1.0,20.0
reihe,8,11.0,3.0,37.5
lampen,1,6.0,5.0,500.0
erleuchtet,1,5.0,4.0,400.0
decke,3,7.0,4.0,133.33
herabhingen,1,7.0,6.0,600.0
beiden,11,17.0,6.0,54.55
seiten,5,9.0,4.0,80.0
corridors,2,7.0,5.0,250.0
thüren,2,7.0,5.0,250.0
verschlossen,2,4.0,2.0,100.0
thür,28,30.0,2.0,7.14
seite,13,16.0,3.0,23.08
endlich,19,22.0,3.0,15.79
traurig,7,10.0,3.0,42.86
mitte,5,10.0,5.0,100.0
überlegend,1,14.0,13.0,1300.0
stand,21,22.0,1.0,4.76
kleinen,32,34.0,2.0,6.25
dreibeinigen,2,10.0,8.0,400.0
tische,6,10.0,4.0,66.67
dickem,1,5.0,4.0,400.0
glas,3,8.0,5.0,166.67
winziges,1,8.0,7.0,700.0
goldenes,1,4.0,3.0,300.0
schlüsselchen,5,8.0,3.0,60.0
erster,3,9.0,6.0,200.0
gedanke,3,8.0,5.0,166.67
möchte,18,20.0,2.0,11.11
gehören,1,2.0,1.0,100.0
ach,14,18.0,4.0,28.57
schlösser,1,5.0,4.0,400.0
groß,14,23.0,9.0,64.29
