Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
capitolo,12,15.0,3.0,25.0
conigliera,4,12.0,8.0,200.0
alice,400,411.0,11.0,2.75
cominciava,5,8.0,3.0,60.0
sentirsi,2,8.0,6.0,300.0
mortalmente,2,7.0,5.0,250.0
stanca,4,12.0,8.0,200.0
sedere,2,13.0,11.0,550.0
poggio,2,10.0,8.0,400.0
accanto,1,8.0,7.0,700.0
sorella,7,13.0,6.0,85.71
far,18,23.0,5.0,27.78
nulla,19,28.0,9.0,47.37
due,39,46.0,7.0,17.95
volte,11,21.0,10.0,90.91
gittato,1,5.0,4.0,400.0
sguardo,2,6.0,4.0,200.0
libro,6,10.0,4.0,66.67
leggeva,3,16.0,13.0,433.33
imagini,2,9.0,7.0,350.0
nè,9,13.0,4.0,44.44
dialoghi,2,7.0,5.0,250.0
serve,2,17.0,15.0,750.0
pensò,53,59.0,6.0,11.32
andava,11,16.0,5.0,45.45
fantasticando,1,8.0,7.0,700.0
cervello,4,14.0,10.0,250.0
meglio,21,33.0,12.0,57.14
poteva,14,18.0,4.0,28.57
perchè,91,100.0,9.0,9.89
stellone,1,8.0,7.0,700.0
avea,46,48.0,2.0,4.35
resa,2,11.0,9.0,450.0
sonnacchiosa,2,14.0,12.0,600.0
grullina,1,11.0,10.0,1000.0
piacere,4,9.0,5.0,125.0
ghirlanda,1,8.0,7.0,700.0
margherite,1,8.0,7.0,700.0
valesse,1,6.0,5.0,500.0
noja,2,7.0,5.0,250.0
levarsi,2,8.0,6.0,300.0
cogliere,1,10.0,9.0,900.0
fiori,5,11.0,6.0,120.0
quand,2,12.0,10.0,500.0
coniglio,49,55.0,6.0,12.24
bianco,20,32.0,12.0,60.0
occhi,31,38.0,7.0,22.58
rubino,1,10.0,9.0,900.0
passò,5,7.0,2.0,40.0
vicino,16,20.0,4.0,25.0
davvero,30,34.0,4.0,13.33
troppo,18,23.0,5.0,27.78
meravigliarsi,1,12.0,11.0,1100.0
ciò,80,86.0,6.0,7.5
cosa,69,74.0,5.0,7.25
stravagante,1,4.0,3.0,300.0
sentire,8,18.0,10.0,125.0
parlare,19,22.0,3.0,15.79
diceva,14,19.0,5.0,35.71
sè,50,56.0,6.0,12.0
oimè,9,18.0,9.0,100.0
oimèi,1,16.0,15.0,1500.0
fatto,17,26.0,9.0,52.94
tardi,7,22.0,15.0,214.29
quando,73,81.0,8.0,10.96
rammentò,6,11.0,5.0,83.33
seguito,3,7.0,4.0,133.33
accorse,9,14.0,5.0,55.56
dovuto,3,7.0,4.0,133.33
meravigliarsene,1,10.0,9.0,900.0
sembrò,3,9.0,6.0,200.0
assai,17,21.0,4.0,23.53
naturale,9,15.0,6.0,66.67
trasse,1,5.0,4.0,400.0
oriuolo,8,11.0,3.0,37.5
taschino,3,9.0,6.0,200.0
panciotto,2,5.0,3.0,150.0
affisò,2,8.0,6.0,300.0
scappò,3,6.0,3.0,100.0
via,50,57.0,7.0,14.0
saltò,4,5.0,1.0,25.0
piedi,25,28.0,3.0,12.0
venuto,2,5.0,3.0,150.0
mente,4,12.0,8.0,200.0
ch,51,59.0,8.0,15.69
ella,53,61.0,8.0,15.09
mai,62,67.0,5.0,8.06
veduto,9,14.0,5.0,55.56
rispettivo,1,5.0,4.0,400.0
starvici,1,4.0,3.0,300.0
divorata,2,13.0,11.0,550.0
curiosità,7,9.0,2.0,28.57
traversò,2,7.0,5.0,250.0
campo,3,12.0,9.0,300.0
correndogli,2,13.0,11.0,550.0
appresso,3,10.0,7.0,233.33
giunse,7,10.0,3.0,42.86
proprio,24,29.0,5.0,20.83
tempo,36,41.0,5.0,13.89
vederlo,1,8.0,7.0,700.0
slanciarsi,1,9.0,8.0,800.0
spaziosa,3,9.0,6.0,200.0
siepe,2,5.0,3.0,150.0
istante,20,24.0,4.0,20.0
scivolò,1,4.0,3.0,300.0
punto,21,27.0,6.0,28.57
riflettere,4,9.0,5.0,125.0
riuscirne,2,7.0,5.0,250.0
fuori,21,26.0,5.0,23.81
buca,3,9.0,6.0,200.0
sfilava,2,4.0,2.0,100.0
diritto,2,13.0,11.0,550.0
galleria,1,3.0,2.0,200.0
tunnel,1,7.0,6.0,600.0
poi,57,65.0,8.0,14.04
inabissava,1,6.0,5.0,500.0
tanto,50,60.0,10.0,20.0
