Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
erstes,1,1.0,0.0,0.0
kapitel,12,15.0,3.0,25.0
hinunter,14,18.0,4.0,28.57
kaninchenbau,3,10.0,7.0,233.33
alice,388,394.0,6.0,1.55
fing,47,49.0,2.0,4.26
langweilen,1,2.0,1.0,100.0
saß,14,16.0,2.0,14.29
schon,24,25.0,1.0,4.17
lange,19,22.0,3.0,15.79
schwester,10,15.0,5.0,50.0
ufer,5,9.0,4.0,80.0
thun,24,27.0,3.0,12.5
buch,3,8.0,5.0,166.67
las,3,10.0,7.0,233.33
gefiel,4,9.0,5.0,125.0
weder,4,7.0,3.0,75.0
bilder,3,16.0,13.0,433.33
gespräche,2,8.0,6.0,300.0
darin,12,16.0,4.0,33.33
nützen,3,9.0,6.0,200.0
bücher,1,7.0,6.0,600.0
dachte,65,71.0,6.0,9.23
überlegte,5,7.0,2.0,40.0
eben,31,35.0,4.0,12.9
gut,31,34.0,3.0,9.68
ging,26,32.0,6.0,23.08
schläfrig,3,9.0,6.0,200.0
dumm,4,9.0,5.0,125.0
hitze,1,5.0,4.0,400.0
mühe,8,13.0,5.0,62.5
werth,5,7.0,2.0,40.0
sei,35,38.0,3.0,8.57
aufzustehen,1,3.0,2.0,200.0
gänseblümchen,1,4.0,3.0,300.0
pflücken,1,3.0,2.0,200.0
kette,1,4.0,3.0,300.0
plötzlich,12,18.0,6.0,50.0
weißes,1,3.0,2.0,200.0
kaninchen,44,45.0,1.0,2.27
rothen,3,6.0,3.0,100.0
augen,25,29.0,4.0,16.0
dicht,13,18.0,5.0,38.46
vorbeirannte,1,6.0,5.0,500.0
grade,1,4.0,3.0,300.0
merkwürdig,3,8.0,5.0,166.67
fand,22,24.0,2.0,9.09
außerordentlich,1,7.0,6.0,600.0
sagen,33,38.0,5.0,15.15
hörte,25,26.0,1.0,4.0
weh,9,13.0,4.0,44.44
spät,5,6.0,1.0,20.0
kommen,21,22.0,1.0,4.76
später,1,2.0,1.0,100.0
fiel,12,19.0,7.0,58.33
darüber,8,9.0,1.0,12.5
hätte,20,22.0,2.0,10.0
wundern,4,7.0,3.0,75.0
sollen,8,13.0,5.0,62.5
zeit,36,40.0,4.0,11.11
kam,39,49.0,10.0,25.64
ganz,82,89.0,7.0,8.54
natürlich,20,30.0,10.0,50.0
uhr,11,14.0,3.0,27.27
westentasche,2,4.0,2.0,100.0
zog,6,7.0,1.0,16.67
sah,47,49.0,2.0,4.26
eilig,9,11.0,2.0,22.22
fortlief,2,3.0,1.0,50.0
sprang,6,12.0,6.0,100.0
nie,25,26.0,1.0,4.0
vorgekommen,1,9.0,8.0,800.0
sehen,43,44.0,1.0,2.33
neugierde,3,7.0,4.0,133.33
brennend,1,5.0,4.0,400.0
rannte,9,13.0,4.0,44.44
grasplatz,1,2.0,1.0,100.0
rechten,9,10.0,1.0,11.11
großes,4,6.0,2.0,50.0
loch,2,5.0,3.0,150.0
hecke,2,7.0,5.0,250.0
schlüpfen,1,1.0,0.0,0.0
nächsten,15,17.0,2.0,13.33
augenblick,23,32.0,9.0,39.13
hineingesprungen,1,2.0,1.0,100.0
bedenken,1,6.0,5.0,500.0
welt,6,7.0,1.0,16.67
herauskommen,1,4.0,3.0,300.0
eingang,3,8.0,5.0,166.67
lief,10,13.0,3.0,30.0
erst,21,26.0,5.0,23.81
geradeaus,1,5.0,4.0,400.0
tunnel,1,5.0,4.0,400.0
abwärts,2,4.0,2.0,100.0
ehe,13,19.0,6.0,46.15
gedanken,7,9.0,2.0,28.57
fassen,2,3.0,1.0,50.0
konnte,51,52.0,1.0,1.96
schnell,35,37.0,2.0,5.71
festzuhalten,1,3.0,2.0,200.0
fühlte,7,9.0,2.0,28.57
schien,20,27.0,7.0,35.0
tiefen,3,8.0,5.0,166.67
brunnen,6,10.0,4.0,66.67
entweder,3,5.0,2.0,66.67
mußte,10,14.0,4.0,40.0
tief,9,13.0,4.0,44.44
langsam,8,16.0,8.0,100.0
genug,24,26.0,2.0,8.33
beim,6,9.0,3.0,50.0
fallen,7,11.0,4.0,57.14
umzusehen,3,7.0,4.0,133.33
wohl,45,47.0,2.0,4.44
geschehen,6,9.0,3.0,50.0
zuerst,15,20.0,5.0,33.33
versuchte,12,17.0,5.0,41.67
wissen,21,23.0,2.0,9.52
wohin,5,11.0,6.0,120.0
käme,2,5.0,3.0,150.0
dunkel,2,4.0,2.0,100.0
erkennen,1,6.0,5.0,500.0
besah,1,6.0,5.0,500.0
wände,1,8.0,7.0,700.0
brunnens,1,2.0,1.0,100.0
bemerkte,14,19.0,5.0,35.71
küchenschränken,1,3.0,2.0,200.0
bücherbrettern,1,6.0,5.0,500.0
bedeckt,2,4.0,2.0,100.0
erblickte,3,11.0,8.0,266.67
landkarten,1,8.0,7.0,700.0
haken,1,1.0,0.0,0.0
aufgehängt,2,7.0,5.0,250.0
nahm,17,18.0,1.0,5.88
vorbeifallen,1,5.0,4.0,400.0
bretter,1,3.0,2.0,200.0
töpfchen,1,5.0,4.0,400.0
aufschrift,1,6.0,5.0,500.0
eingemachte,1,6.0,5.0,500.0
apfelsinen,1,3.0,2.0,200.0
großen,17,18.0,1.0,5.88
verdruß,3,8.0,5.0,166.67
leer,1,5.0,4.0,400.0
lassen,11,16.0,5.0,45.45
furcht,3,6.0,3.0,100.0
jemand,8,10.0,2.0,25.0
tödten,1,4.0,3.0,300.0
gelang,4,4.0,0.0,0.0
schrank,1,8.0,7.0,700.0
vorbeikam,1,7.0,6.0,600.0
schieben,2,6.0,4.0,200.0
fall,14,18.0,4.0,28.57
daraus,3,5.0,2.0,66.67
treppe,3,6.0,3.0,100.0
stolpere,1,5.0,4.0,400.0
muthig,1,5.0,4.0,400.0
haus,8,15.0,7.0,87.5
finden,9,14.0,5.0,55.56
redens,1,1.0,0.0,0.0
dachspitze,1,9.0,8.0,800.0
fiele,1,7.0,6.0,600.0
wahrscheinlich,6,9.0,3.0,50.0
endigen,1,10.0,9.0,900.0
viele,4,8.0,4.0,100.0
meilen,3,10.0,7.0,233.33
gefallen,9,11.0,2.0,22.22
sagte,361,364.0,3.0,0.83
laut,18,21.0,3.0,16.67
muß,27,30.0,3.0,11.11
ungefähr,14,16.0,2.0,14.29
mittelpunkt,1,4.0,3.0,300.0
erde,4,12.0,8.0,200.0
laß,13,20.0,7.0,53.85
wären,2,4.0,2.0,100.0
achthundert,1,4.0,3.0,300.0
funfzig,1,3.0,2.0,200.0
glaube,20,26.0,6.0,30.0
müßt,3,8.0,5.0,166.67
dergleichen,4,8.0,4.0,100.0
schule,7,10.0,3.0,42.86
gelernt,2,6.0,4.0,200.0
obgleich,9,13.0,4.0,44.44
gute,7,10.0,3.0,42.86
gelegenheit,8,14.0,6.0,75.0
kenntnisse,2,10.0,8.0,400.0
zeigen,5,6.0,1.0,20.0
niemand,11,16.0,5.0,45.45
zuhören,2,5.0,3.0,150.0
übte,1,5.0,4.0,400.0
dabei,23,28.0,5.0,21.74
ja,47,51.0,4.0,8.51
entfernung,6,8.0,2.0,33.33
länge,1,6.0,5.0,500.0
breitegrade,1,7.0,6.0,600.0
gekommen,8,11.0,3.0,37.5
mag,12,13.0,1.0,8.33
geringsten,4,7.0,3.0,75.0
begriff,3,4.0,1.0,33.33
längegrad,1,5.0,4.0,400.0
breitegrad,1,5.0,4.0,400.0
klangen,1,11.0,10.0,1000.0
worte,15,17.0,2.0,13.33
großartig,1,4.0,3.0,300.0
nett,4,10.0,6.0,150.0
bald,20,24.0,4.0,20.0
komisch,9,12.0,3.0,33.33
leuten,2,7.0,5.0,250.0
heraus,7,11.0,4.0,57.14
kopfe,7,10.0,3.0,42.86
gehen,23,26.0,3.0,13.04
antipathien,1,8.0,7.0,700.0
diesmal,10,16.0,6.0,60.0
lieb,3,4.0,1.0,33.33
zuhörte,4,7.0,3.0,75.0
wort,10,11.0,1.0,10.0
klang,4,8.0,4.0,100.0
gar,37,42.0,5.0,13.51
recht,22,27.0,5.0,22.73
fragen,9,11.0,2.0,22.22
müssen,12,17.0,5.0,41.67
land,4,5.0,1.0,25.0
heißt,4,7.0,3.0,75.0
bitte,15,19.0,4.0,26.67
liebe,14,18.0,4.0,28.57
dame,2,10.0,8.0,400.0
neu,1,7.0,6.0,600.0
seeland,1,8.0,7.0,700.0
australien,1,3.0,2.0,200.0
knixen,2,8.0,6.0,300.0
denkt,2,4.0,2.0,100.0
luft,10,12.0,2.0,20.0
fällt,2,5.0,3.0,150.0
könntet,2,5.0,3.0,150.0
fertig,9,11.0,2.0,22.22
kriegen,1,4.0,3.0,300.0
unwissendes,1,3.0,2.0,200.0
kleines,12,15.0,3.0,25.0
mädchen,7,24.0,17.0,242.86
halten,4,10.0,6.0,150.0
frage,20,24.0,4.0,20.0
nein,30,34.0,4.0,13.33
geht,15,21.0,6.0,40.0
vielleicht,18,21.0,3.0,16.67
sehe,6,14.0,8.0,133.33
irgendwo,3,12.0,9.0,300.0
angeschrieben,1,5.0,4.0,400.0
sprechen,9,18.0,9.0,100.0
dinah,15,20.0,5.0,33.33
